Home,Visitor,Visitor_Score,Home_Score
Appalachian St.,Coastal Carolina,29,37
Arkansas,Auburn,52,20
Arkansas St.,Louisiana-Lafayette,3,47
Army,Temple,28,31
Ball St.,Central Mich.,56,9
Baylor,West Va.,38,36
Boise St.,Wyoming,14,24
Bowling Green,Northern Ill.,48,17
California,Arizona,45,44
Charlotte,UAB,24,25
Cincinnati,SMU,31,28
Connecticut,Tulsa,14,20
Duke,Pittsburgh,24,17
East Carolina,BYU,17,33
Eastern Mich.,Western Mich.,20,17
Florida Atlantic,North Texas,31,69
Florida St.,Louisville,31,28
Georgia St.,Troy St.,34,10
Georgia Tech,Wake Forest,24,38
Houston,Memphis,42,38
Kansas St.,Oklahoma,42,35
Louisiana Tech,Southern Miss.,34,27
Massachusetts,Georgia Southern,20,55
Miami (Fla.),Syracuse,19,27
Miami (Ohio),Buffalo,14,24
Michigan St.,Indiana,9,17
Middle Tenn.,Marshall,38,10
Minnesota,Illinois,17,24
Mississippi,LSU,40,24
Mississippi St.,Kentucky,7,45
Missouri,Idaho,21,68
Navy,Central Florida,31,21
Nevada,Air Force,45,42
New Mexico,Colorado St.,27,24
Northwestern,Iowa,10,17
Notre Dame,USC,14,49
Ohio,Kent,3,48
Old Dominion,Western Kentucky,35,31
Penn St.,Michigan,13,42
Rutgers,Purdue,12,14
San Diego St.,Fresno St.,27,3
South Alabama,Louisiana-Monroe,23,33
TCU,Kansas,0,43
Texas,Oklahoma St.,13,10
Texas Tech,Iowa St.,31,13
Texas-San Antonio,Rice,7,20
Toledo,Akron,21,48
Tulane,South Florida,34,28
UCLA,Oregon,14,31
UNLV,Utah St.,52,28
Utah,Arizona St.,30,10
Virginia,Boston College,41,10
Virginia Tech,North Carolina,7,59
Washington St.,Colorado,0,28
Wisconsin,Maryland,13,38
Akron,Buffalo,20,21
Arizona,Washington St.,37,58
Arizona St.,USC,48,17
BYU,San Jose St.,20,41
Ball St.,Toledo,58,17
Baylor,Texas,38,7
Boston College,Florida St.,3,35
Clemson,Georgia Tech,10,24
Coastal Carolina,Texas St.,27,7
Colorado,California,28,44
Colorado St.,Air Force,45,28
Connecticut,Missouri,52,12
Florida,Georgia,42,7
Fresno St.,UNLV,26,16
Georgia St.,South Alabama,13,21
Hawaii,San Diego St.,28,7
Idaho,Louisiana-Monroe,23,31
Illinois,Wisconsin,24,10
Iowa,Minnesota,10,17
Iowa St.,TCU,7,14
Kansas,Kansas St.,30,20
Kentucky,Tennessee,26,29
Marshall,Florida Intl.,41,30
Maryland,Indiana,39,42
Massachusetts,Appalachian St.,27,30
Memphis,Tulane,26,56
Michigan,Rutgers,14,35
Mississippi,Arkansas,38,37
New Mexico St.,Arkansas St.,37,21
North Carolina,Miami (Fla.),24,19
North Texas,Old Dominion,38,45
Northern Ill.,Eastern Mich.,27,30
Northwestern,Michigan St.,31,39
Notre Dame,NC St.,14,35
Ohio St.,Penn St.,38,39
Oklahoma,Texas Tech,27,49
Oregon,Utah,20,41
Oregon St.,Stanford,15,14
Pittsburgh,Virginia,14,31
Purdue,Nebraska,25,24
Rice,Louisiana Tech,42,28
SMU,Tulsa,34,38
South Carolina,Vanderbilt,27,34
South Florida,Houston,28,24
Southern Miss.,UAB,30,12
Texas A&M,Mississippi St.,35,14
Troy St.,Georgia Southern,16,38
UTEP,Texas-San Antonio,31,14
Utah St.,Boise St.,41,14
Virginia Tech,Duke,3,24
Wake Forest,Louisville,32,42
Washington,UCLA,23,44
West Va.,Oklahoma St.,50,39
Western Kentucky,Florida Atlantic,42,28
Wyoming,New Mexico,3,42
Air Force,Army,21,0
Alabama,LSU,10,24
Arizona St.,Colorado,30,41
Arkansas,Coastal Carolina,38,39
Boise St.,Nevada,14,41
California,Oregon St.,23,37
Connecticut,South Florida,37,20
Eastern Mich.,Ball St.,14,56
Florida Atlantic,Marshall,25,30
Florida Intl.,Texas-San Antonio,7,14
Florida St.,Syracuse,24,27
Fresno St.,BYU,13,20
Georgia,South Carolina,10,24
Georgia Southern,Georgia St.,21,17
Houston,East Carolina,27,52
Indiana,Wisconsin,45,17
Iowa,Ohio St.,24,55
Kansas,Baylor,38,9
Kent,Bowling Green,44,16
Kentucky,Mississippi,37,34
Louisiana Tech,North Texas,24,23
Louisiana-Monroe,Appalachian St.,45,52
Miami (Fla.),Virginia Tech,10,28
Michigan,Minnesota,10,33
Michigan St.,Penn St.,24,27
Middle Tenn.,UTEP,3,30
Mississippi St.,Massachusetts,23,34
Missouri,Florida,16,45
NC St.,Clemson,38,31
Nebraska,Northwestern,31,24
New Mexico,Utah St.,24,10
Notre Dame,Wake Forest,37,48
Ohio,Miami (Ohio),28,45
Oklahoma St.,Oklahoma,62,52
Old Dominion,Charlotte,0,6
Purdue,Illinois,10,29
Rutgers,Maryland,24,31
SMU,Central Florida,31,24
San Jose St.,San Diego St.,52,7
South Alabama,Louisiana-Lafayette,19,14
TCU,Texas,7,24
Temple,Navy,26,34
Tennessee,Southern Miss.,10,24
Texas A&M,Auburn,42,27
Texas St.,New Mexico St.,45,35
Texas Tech,Kansas St.,42,35
Toledo,Northern Ill.,17,27
Troy St.,Idaho,21,24
Tulane,Cincinnati,17,16
Tulsa,Memphis,41,14
UAB,Rice,21,52
UNLV,Hawaii,23,31
USC,Arizona,35,49
Utah,UCLA,17,48
Vanderbilt,Western Kentucky,17,31
Virginia,Georgia Tech,36,40
Washington,Oregon,3,38
Washington St.,Stanford,21,24
West Va.,Iowa St.,16,20
Western Mich.,Central Mich.,35,28
Wyoming,Colorado St.,13,16
Air Force,Wyoming,28,14
Appalachian St.,Georgia Southern,6,27
Arizona,Oregon St.,28,49
Army,Duke,16,21
Auburn,Georgia,17,40
Baylor,Texas Tech,38,24
Boston College,NC St.,17,14
